Campo;Descripción campo;Tabla
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_cust_contact_chan
g_update_source_type;Tipo de modelo global que marca el origen desde el que se modifica un dato. Cuando existe convivencia entre distintos origenes, por ejemplo: Host o APX, es necesario conocer en cual de ellos se ha actualizado para nivelar la información.;t_kbtq_cust_contact_chan
gf_address_desc;Detalle del lugar donde se encuentra ubicado el domicilio de la persona. Incluye toda la información necesaria para identificar un domicilo al minimo nivel (área, tipo de via, número....);t_kbtq_cust_contact_chan
gf_email_desc;Dirección de correo electrónico de la Persona;t_kbtq_cust_contact_chan
gf_phone_type;Marca utilizada para identificar el tipo de teléfono. Por ejemplo: - movil - fijo - bbeper - radio - otros;t_kbtq_cust_contact_chan
gf_prefix_phone_id;Código del préfijo nacional (departamental) o internacional de un teléfono.;t_kbtq_cust_contact_chan
gf_extension_phone_id;Número de extensión de un teléfono, complemento del número de teléfono aportado;t_kbtq_cust_contact_chan
gf_phone_id;Número de teléfono aportado por el cliente como método de contacto, el cual se trata de una secuencia de dí­gitos que permite la identificación del punto final de una llamada en una red telefónica. Esta secuencia de dí­gitos variará su longitud dependiendo de la geografí­a.;t_kbtq_cust_contact_chan
g_phone_company_id;Identificador en el modelo global de la compaí±ia de teléfonos a la que pertenece el número de teléfono del contacto del cliente.;t_kbtq_cust_contact_chan
g_phone_country_id;Código ISO del modelo global que permite identificar de manera uní­voca un paí­s al que pertenece un teléfono;t_kbtq_cust_contact_chan
g_operational_mobile_ind_type;Marca de modelo global para indicar si el móvil es utilizado para operar en los canales de la entidad. También llamado móvil multicanal.;t_kbtq_cust_contact_chan
g_main_contact_chan_ind_type;Marca de modelo global para indicar el canal de contacto principal cuando existen varios del mismo tipo.;t_kbtq_cust_contact_chan
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_cust_contact_chan
g_country_subdivision_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi1_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi2_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi3_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi4_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi5_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi6_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi7_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi8_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_country_subdivisi9_id;Código ISO del modelo global, que identifica de manera uní­voca una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.).;t_kbtq_cust_contact_chan
g_local_country_subdivision_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio1_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio2_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio3_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio4_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio5_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio6_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio7_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio8_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
g_local_country_subdivisio9_id;Código que identifica una subdivisión de un paí­s (comunidad autónoma, provincia, distrito, estado, etc.) en el modelo global, con información local. Estará compuesto por el paí­s y el código de la subdivisión según estándares locales.;t_kbtq_cust_contact_chan
gf_address_type;Marca utilizada para identificar el tipo de Domicilio. Por ejemplo: - Alquilado - En propiedad - Hipotecada - Otros;t_kbtq_cust_contact_chan
gf_address_type_desc;Descripción del tipo de domicilio/dirección;t_kbtq_cust_contact_chan
gf_residence_type;Marca utilizada para identificar el domicilio registrado de la persona. Por ejemplo: - Domicilio Fiscal - Primera residencia - Empresa donde trabaja - Otros;t_kbtq_cust_contact_chan
gf_residence_desc;Descripción de la marca utilizada para identificar el domicilio registrado de la persona. Por ejemplo: - Domicilio Fiscal - Primera residencia - Empresa donde trabaja - Otros;t_kbtq_cust_contact_chan
gf_road_type_id;Código identificativo que permite identificar el tipo de ví­a. Por ejemplo: - Calle - Avenida - Travesí­a - Otras;t_kbtq_cust_contact_chan
gf_address_road_desc;Descripción con detalle del nombre de la via en una dirección.;t_kbtq_cust_contact_chan
gf_primry_addr_road_number_id;Identificador del Número primario del Domicilio Normalizado. Se trata de información complementaria de una dirección. Por ejemplo, en el caso de que haya dos portales con mismo número y se distingan por una letra Portal 16-A Portal 16 - B;t_kbtq_cust_contact_chan
gf_urbanization_type;Tipo de zona o urbanización de la dirección.;t_kbtq_cust_contact_chan
gf_urbanization_name;Nombre de la zona o urbanización de la dirección.;t_kbtq_cust_contact_chan
gf_secndy_addr_road_number_id;Identificador del Número secundario del Domicilio Normalizado. Se trata de información complementaria de una dirección. Por ejemplo, en el caso de que haya dos portales con mismo número y se distingan por una letra Portal 16-A Portal 16 - B;t_kbtq_cust_contact_chan
gf_address_reference_desc;Descripción correspondiente a la referencia de la dirección. Esta información es incluida con el fin de facilitar la localización de la dirección.Por ejemplo: Al lado de, al frente de, en la esquina de etc.;t_kbtq_cust_contact_chan
gf_zipcode_id;Esquema que se encarga de asignar a distintas zonas o lugares de un paí­s, un código que, adosado a la dirección, es útil para facilitar y mecanizar el encaminamiento de una carta de correo. Los códigos postales son una serie de dí­gitos y letras.;t_kbtq_cust_contact_chan
gf_address_verified_type;Marca que permite identificar la validez o fiabilidad del Domicilio de la Persona registrado en la Entidad. La validez se suele realizar según el criterio de la Entidad. El más extendido consiste en la validación del domicilio en función del Contacto con el cliente. Si el cliente da feedback tras una notificación a domicilio se valida el Domiclio.;t_kbtq_cust_contact_chan
gf_address_verified_date;Fecha que permite identificar la validez o fiabilidad del Domicilio de la Persona registrado en la Entidad. La validez se suele realizar según el criterio de la Entidad. El más extendido consiste en la validación del domicilio en función del Contacto con el cliente. Si el cliente da feedback tras una notificación a domicilio se valida el Domiclio.;t_kbtq_cust_contact_chan
gf_address_x_coord_number;Número de la Coordenada geográfica que marca la longitud en la que se encuentra el domicilio de la persona. Entendiendo por coordenadas geográficas el sistema que permite que cada ubicación en la Tierra.;t_kbtq_cust_contact_chan
gf_address_y_coord_number;Número de la coordenada geográfica que marca la latitud en la que se encuentra el domicilio de la persona. Entendiendo por coordenadas geográficas el sistema que permite que cada ubicación en la Tierra.;t_kbtq_cust_contact_chan
g_mlbx_type_cnt_chn_ind_type;Tipo para indicar si un canal de contacto es de tipo buzón en el modelo global.;t_kbtq_cust_contact_chan
gf_property_social_class_type;Código del estrato social donde se encuentra ubidado el inmueble (dirección). La estratificación social realiza una clasificación de la población por caracterí­sticas sociales y económicas similares;t_kbtq_cust_contact_chan
gf_pers_address_foreign_desc;Descripción del lugar donde se encuentra ubicado el domicilio de la persona en el extranjero. Incluye toda la información necesaria para identificar un domicilo al minimo nivel (área, tipo de via, número....);t_kbtq_cust_contact_chan
gf_town_name;Nombre de la Ciudad/Población.;t_kbtq_cust_contact_chan
g_house_construction_type;Tipo de construcción de la vivienda en el modelo global. Por ejemplo: Unifamiliar, piso, apartamento, etc.;t_kbtq_cust_contact_chan
gf_contact_channel_detail_type;Tipo de detalle de canal de contacto, para indicar dentro del canal el uso que se da al contacto, por ejemplo si es un teléfono de empresa, particular, vacaciones,etc;t_kbtq_cust_contact_chan
gf_contact_channel_obsv_desc;Observaciones de la persona en relación a sus canales de contacto.;t_kbtq_cust_contact_chan
gf_contact_channel_alias_name;Nombre del alias en el canal de contacto. Se utiliza para poner el nombre al que va dirigido el Email, Address, etc.;t_kbtq_cust_contact_chan
gf_residence_date;Momento desde el que comienza la residencia del domicilio, desde cuando vive ahi la persona;t_kbtq_cust_contact_chan
gf_residence_state_name;Nombre del estado de la residencia, donde reside una persona. Por ejemplo en México el Estado de Chiapas o en Suiza el Cantón de Berna.;t_kbtq_cust_contact_chan
gf_operation_check_date;Fecha en la que se ha realizado el cotejo de la operación.;t_kbtq_cust_contact_chan
gf_start_hms_pers_contact_date;Hora desde la que se puede contactar con la persona por un canal de contacto.;t_kbtq_cust_contact_chan
gf_end_hms_pers_contact_date;Hora hasta la que se puede contactar con la persona por un canal de contacto.;t_kbtq_cust_contact_chan
gf_person_reg_app_channel_id;Identificador del canal de la aplicación por el cual se registros el cliente o no cliente;t_kbtq_cust_contact_chan
gf_person_updt_app_channel_id;Identificador del canal de aplicación a través del cual se actualizó la persona.;t_kbtq_cust_contact_chan
g_operational_email_ind_type;Marca de modelo global para indicar si el email es utilizado para operar en los canales de la entidad. También llamado email multicanal.;t_kbtq_cust_contact_chan
gf_website_soc_media_desc;Descripción de la página web o medio social.;t_kbtq_cust_contact_chan
gf_event_type;Indicador del tipo de evento producido;t_kbtq_cust_contact_chan
gf_contact_reliability_type;Tipo de confiabilidad del contacto, para poder establecer que contacto es más prioritario.;t_kbtq_cust_contact_chan
gf_input_application_id;Identificador que hace referencia a la aplicación desde la cual se dí­o de alta el registro.;t_kbtq_cust_contact_chan
gf_audit_insertion_user_id;Identificador del usuario de auditorí­a que realizó la inserción.;t_kbtq_cust_contact_chan
gf_creation_terminal_id;Código de la terminal que realizó la creacion del movimiento.;t_kbtq_cust_contact_chan
gf_terminal_last_modify_id;Código que permite identificar el terminal donde se realizó la última modificación.;t_kbtq_cust_contact_chan
gf_account_register_branch_id;Código identificadtivo de la Oficina/sucursal en la cual se ha realizado el alta de la cuenta.;t_kbtq_cust_contact_chan
gf_last_change_branch_id;Código de la sucursal / oficina que realizó la última modificación en la información del registro;t_kbtq_cust_contact_chan
gf_legacy_access_code_id;Identificador que hace referencia al código del Legacy. Por ejemplo la clave local para poder consultar un registro en el Host.;t_kbtq_cust_contact_chan
gf_operational_audit_date;Fecha de auditorí­a del sistema origen;t_kbtq_cust_contact_chan
gf_conciliation_id;Identificador de conciliación, el cual va a permitir discernir si la informacion cargada esta alineada con el origen. La información que puede contener puede ser de cualquier naturaleza, como por ejempllo: PAN, telefono del cliente, DNI,etc;t_kbtq_cust_contact_chan
gf_returned_mail_type;Marca utilizada para indicar de que el cliente rechaza o devuelve la correspondencia.;t_kbtq_cust_contact_chan
g_customer_id;Identificador de cliente en modelo global, entendiéndose por cliente aquella persona, fí­sica o jurí­dica, que contrata un producto o servicio con la entidad financiera. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_cust_manager
gf_manager_id;Códificación interna de la Entidad que permite la identificación uní­voca del Gestor de la entidad, encargado de ser el nexo de unión entre la entidad y el cliente.;t_kbtq_cust_manager
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_cust_manager
gf_manager_type;Código que identifica el tipo de gestor en la entidad;t_kbtq_cust_manager
g_user_account_id;Identificador de modelo global de una cuenta de usuario, que interactúa en nombre del cliente y que tiene un perfil en relación a la relación definida por la empresa (o particular) para esa persona.;t_kbtq_cust_manager
gf_manager_role_id;Código identificativo de la función que posee el gestor;t_kbtq_cust_manager
gf_manager_role_desc;Descripción de la función que posee el gestor;t_kbtq_cust_manager
gf_manager_status_type;Marca utilizada para identificar la situación en la que se encuenta la reclación entre el Gestor y la Entidad.  Por ejemplo:  - Activa.  - Cancelada.  - Inactiva - Otros;t_kbtq_cust_manager
gf_manager_status_desc;Descripción utilizada para identificar el tipo de situación en la que se encuenta la reclación entre el Gestor y la Entidad.  Por ejemplo:  - Activa.  - Cancelada.  - Inactiva - Otros;t_kbtq_cust_manager
gf_manager_entry_date;Momento en el que se registra el alta de un gestor en el sistema.;t_kbtq_cust_manager
gf_manager_end_date;Momento en el que se registra la baja de un gestor en el sistema.;t_kbtq_cust_manager
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_cust_manager
g_update_source_type;Tipo de modelo global que marca el origen desde el que se modifica un dato. Cuando existe convivencia entre distintos origenes, por ejemplo: Host o APX, es necesario conocer en cual de ellos se ha actualizado para nivelar la información.;t_kbtq_cust_manager
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_cust_manager
g_customer_id;Identificador de cliente en modelo global, entendiéndose por cliente aquella persona, fí­sica o jurí­dica, que contrata un producto o servicio con la entidad financiera. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_cust_special_status
gf_special_status_id;Código identificativo que representa los posibles estados en los que se puede encontrar un cliente en lo que respecta a su capacidad de pago, ya sea una persona fí­sica o jurí­dica.  Por ejemplo:  - Suspensión de pagos - Quiebra - Incapacidad legal - Incapacidad judicial - Otros;t_kbtq_cust_special_status
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_cust_special_status
gf_special_status_desc;Descripción del código identificativo que representa los posibles estados en los que se puede encontrar un cliente en lo que respecta a su capacidad de pago, ya sea una persona fí­sica o jurí­dica. Por ejemplo: - Suspensión de pagos - Quiebra - Incapacidad legal - Incapacidad judicial - Otros;t_kbtq_cust_special_status
gf_cust_spcl_status_init_date;Fecha en la que el cliente comienza a estar en estado especial;t_kbtq_cust_special_status
gf_cust_spcl_status_end_date;Fecha en la que el cliente termina de estar en estado especial;t_kbtq_cust_special_status
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_cust_special_status
g_update_source_type;Tipo de modelo global que marca el origen desde el que se modifica un dato. Cuando existe convivencia entre distintos origenes, por ejemplo: Host o APX, es necesario conocer en cual de ellos se ha actualizado para nivelar la información.;t_kbtq_cust_special_status
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_cust_special_status
g_customer_id;Identificador de cliente en modelo global, entendiéndose por cliente aquella persona, fí­sica o jurí­dica, que contrata un producto o servicio con la entidad financiera. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_customer_asset
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_customer_asset
gf_asset_desc;Descripción del activo, ya sea inmueble, mueble o derecho valorizado en dinero o susceptible de ser valorizado.;t_kbtq_customer_asset
gf_asset_amount;Importe de activos declarados. Los activos incluyen bienes muebles e inmuebles de cualquier naturaleza o cuentas por cobrar.;t_kbtq_customer_asset
gf_customized_asset_desc;Descripción personalizada del activo, ya sea inmueble, mueble o derecho valorizado en dinero o susceptible de ser valorizado.;t_kbtq_customer_asset
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_customer_asset
g_update_source_type;Tipo de modelo global que marca el origen desde el que se modifica un dato. Cuando existe convivencia entre distintos origenes, por ejemplo: Host o APX, es necesario conocer en cual de ellos se ha actualizado para nivelar la información.;t_kbtq_customer_asset
gf_asset_id;Codificación que permite la identificación uní­voca del Bien, ya sea inmueble, mueble o derecho valorizado en dinero o susceptible de ser valorizado.;t_kbtq_customer_asset
gf_asset_type_id;Código identificativo correspondiente a la tipologí­a del bienes según su naturaleza.  Por ejemplo: - Bienes muebles son aquellos bienes que pueden ser trasladados sin alterar su naturaleza o calidad (dinero, acciones y participaciones, joyas, obras de arte, vehí­culos...). - Bienes inmuebles hacen referencia a propiedades que no pueden moverse del lugar en el que están (tierras, locales o viviendas...). - Otros;t_kbtq_customer_asset
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_customer_asset
gf_operational_audit_date;Fecha de auditorí­a del sistema origen;t_kbtq_customer_asset
gf_audit_insertion_user_id;Identificador del usuario de auditorí­a que realizó la inserción.;t_kbtq_customer_asset
gf_creation_terminal_id;Código de la terminal que realizó la creacion del movimiento.;t_kbtq_customer_asset
gf_terminal_last_modify_id;Código que permite identificar el terminal donde se realizó la última modificación.;t_kbtq_customer_asset
gf_account_register_branch_id;Código identificadtivo de la Oficina/sucursal en la cual se ha realizado el alta de la cuenta.;t_kbtq_customer_asset
gf_last_change_branch_id;Código de la sucursal / oficina que realizó la última modificación en la información del registro;t_kbtq_customer_asset
gf_conciliation_id;Identificador de conciliación, el cual va a permitir discernir si la informacion cargada esta alineada con el origen. La información que puede contener puede ser de cualquier naturaleza, como por ejempllo: PAN, telefono del cliente, DNI,etc;t_kbtq_customer_asset
g_customer_id;Identificador de cliente en modelo global, entendiéndose por cliente aquella persona, fí­sica o jurí­dica, que contrata un producto o servicio con la entidad financiera. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_customer_balance
gf_balance_id;Identificador de un balance. Ya sea de gastos, ingresos, activos, etc...;t_kbtq_customer_balance
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_customer_balance
gf_balance_type;Tipo de balance. Ya sea de gastos, ingresos, activos, etc...;t_kbtq_customer_balance
gf_balance_desc;Descripción del balance. Ya sea de gastos, ingresos, activos, etc...;t_kbtq_customer_balance
gf_total_balance_amount;Cantidad monetaria que refleja la situación económica y financiera del cliente de la entidad en un momento determinado. El estado de situación financiera se estructura a través de tres conceptos patrimoniales, el activo, el pasivo y el patrimonio neto, desarrollados cada uno de ellos en grupos de cuentas que representan los diferentes elementos patrimoniales. La ecuación básica de la contabilidad relaciona estos tres conceptos: Patrimonio neto = Activo - Pasivo.;t_kbtq_customer_balance
g_currency_id;Código alfanumérico Modelo Global de 3 posiciones que clasifica la divisa/moneda de los paí­ses en base al estándar internacional ISO 4217. Por ejemplo: EUR (Euro), ARS (Peso Argentino), COP (Peso Colombiano), CAD (Dolar canadiense), USA (Dolar estadounidense)...;t_kbtq_customer_balance
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_customer_balance
g_update_source_type;Tipo de modelo global que marca el origen desde el que se modifica un dato. Cuando existe convivencia entre distintos origenes, por ejemplo: Host o APX, es necesario conocer en cual de ellos se ha actualizado para nivelar la información.;t_kbtq_customer_balance
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_customer_balance
gf_operational_audit_date;Fecha de auditorí­a del sistema origen;t_kbtq_customer_balance
gf_audit_insertion_user_id;Identificador del usuario de auditorí­a que realizó la inserción.;t_kbtq_customer_balance
gf_creation_terminal_id;Código de la terminal que realizó la creacion del movimiento.;t_kbtq_customer_balance
gf_terminal_last_modify_id;Código que permite identificar el terminal donde se realizó la última modificación.;t_kbtq_customer_balance
gf_account_register_branch_id;Código identificadtivo de la Oficina/sucursal en la cual se ha realizado el alta de la cuenta.;t_kbtq_customer_balance
